a|material textual|bk_8.fdt
c|música impresa|mu_8.fdt
d|música manuscrita|mu_8.fdt
e|material cartográfico|mp_8.fdt
f|material cartográfico manuscrito|mp_8.fdt
g|material proyectable|vm_8.fdt
i|registros sonoros no musicales|mu_8.fdt
j|registros sonoros musicales|mu_8.fdt
k|gráficos bidimensionales no proyectables|vm_8.fdt
m|archivos de computadora|cf_8.fdt
o|Kit|vm_8.fdt
p|material mixto|vm_8.fdt
r|objetos tridimensionales, artefactos u objetos naturales|vm_8.fdt
t|material de texto manuscrito|bk_8.fdt
s|Serie|se_8.fdt
