b|Aucune date fournie ou présence d'une date avant J.-C
c|Ressource continue actuellement publiée 
d|Ressource continue cessée
e|Date détaillée 
i|Dates extrêmes représentées par une collection 
k|Étendue des années couvertes par la majeure partie de la collection 
m|Dates multiples 
n|Dates inconnues 
p|Date de diffusion, de lancement, d'édition et date de production ou de séance d'enregistrement lorsqu'elles diffèrent 
q|Date incertaine 
r|Date de réimpression ou de réédition et la date de l'original 
s|Date unique de publication connue ou probable 
t|Date de publication et date de droit d'auteur 
u|Statut de ressource continue inconnu 
 |Aucune tentative de coder 
