AG|Acervo Geral (AG)
AG-CAIXA|Acervo Geral - CAIXA (AG-CAIXA)
AG-P|Acervo Geral - Pequeno (AG-P)
AG-G|Acervo Geral - Grande (AG-G)
AG-RE|Acervo Geral - Reserva Especial (AG-RE)
AG-EP|Acervo Geral - Edição Príncipe (AG-EP)
AG-RD|Acervo Geral - Referência do Depósito (livros de referência) (AG-RD)
R|Setor de Referência (R)
RS|Setor de Documentação do Rio Grande do Sul (RS)
RS-BPE|Setor do Rio Grande do Sul - trabalhos sobre a BPE ou o Estado (RS-BPE)
RS-CAIXA|Setor do Rio Grande do Sul - CAIXA (RS-CAIXA)
RS-R|Setor do Rio Grande do Sul - Referência (RS-R)
RS-EP|Setor do Rio Grande do Sul - Edição Príncipe (RS-EP)
SB|Setor Braille (SB)
SB-R|Setor Braille - Referência (SB-R)
SE|Setor de Empréstimo (SE)
SMM|Setor de Multimeios (SMM)
SOB|Setor de Obras Raras (SOB)
ST|Setor de Processamento Técnico (ST)
