Adaptador|Adaptador
Analista|Analista
Animador|Animador
Anotador|Anotador
Antecedente bibliográfico|Antecedente bibliográfico
Arquiteto|Arquiteto
Arranjador|Arranjador
Artista|Artista
Ator|Ator
Autor|Autor
Autor de diálogo|Autor de diálogo
Autor de introdução|Autor de introdução
Autor de posfácio, palavras finais, etc.|Autor de posfácio, palavras finais, etc.
Autor de texto anexo a material audiovisual|Autor de texto anexo a material audiovisual
Autor em citações ou resumo de textos|Autor em citações ou resumo de textos
Calígrafo|Calígrafo
Candidato|Candidato
Cantor|Cantor
Cartógrafo|Cartógrafo
Cessionário|Cessionário
Cliente|Cliente
Colaborador|Colaborador
Coletor|Coletor
Comentarista|Comentarista
Comentarista de texto impresso|Comentarista de texto impresso
Compilador|Compilador
Compositor|Compositor
Compositor de trilha sonora|Compositor de trilha sonora
Conservador|Conservador
Consultor|Consultor
Coordenador|Coordenador
Coreógrafo|Coreógrafo
Curador|Curador
Dançarino|Dançarino
Desenhista|Desenhista
Designer de livro|Designer de livro
Detentor de copirraite|Detentor de copirraite
Detentor de patente|Detentor de patente
Diretor artistico|Diretor artistico
Diretor de arte|Diretor de arte
Diretor técnico|Diretor técnico
Distribuidor|Distribuidor
Editor|Editor
Encadernador|Encadernador
Entrevistado|Entrevistado
Entrevistador|Entrevistador
Fotógrafo|Fotógrafo
Iluminador|Iluminador
Ilustrador|Ilustrador
Impressor|Impressor
Instrumentista|Instrumentista
Inventor|Inventor
Leiloeiro|Leiloeiro
Livreiro|Livreiro
Locutor|Locutor
Locutor de rádio|Locutor de rádio
Monitor / Contratante|Monitor / Contratante
Narrador|Narrador
Organizador|Organizador
Organizador de evento|Organizador de evento
Orientador de tese|Orientador de tese
Outros|Outros
Pesquisador|Pesquisador
Produtor|Produtor
Produtor de livro|Produtor de livro
Professor|Professor
Publicador|Publicador
Redator|Redator
Regente|Regente
Reporter|Reporter
Revisor técnico|Revisor técnico
Roteirista|Roteirista
Técnico de gravação|Técnico de gravação
Tradutor|Tradutor
Usuário de tecnologia de patente|Usuário de tecnologia de patente
Vocalista|Vocalista
