a|Material textual (Impresso)|f_bk_8.fdt
c|Música impressa|f_mu_8.fdt
d|Música manuscrita|f_mu_8.fdt
e|Material cartográfico impresso|f_mp_8.fdt
f|Material cartográfico manuscrito|f_mp_8.fdt
g|Material projetável|f_vm_8.fdt
i|Registro sonoro não musical|f_mu_8.fdt
j|Registro sonoro musical|f_mu_8.fdt
k|Gráfico bidimensional não projetável|f_vm_8.fdt
m|Arquivo de computador|f_cf_8.fdt
o|Kit (duas ou mais categorias)|f_vm_8.fdt
p|Material misto|f_mx_8.fdt
r|Artefatos tridimensionais ou objetos da natureza|f_vm_8.fdt
t|Manuscrito|f_bk_8.fdt
s|Recurso contínuo (publicado em partes sucessivas)|f_cr_8.fdt
z|Planilha com todos os campos|f_vm_8.fdt
