irregular|Irregular
anual|Anual
atualizado continuamente|Atualizado continuamente
bienal|Bienal (com 2 anos)
bimestral|Bimestral (com 2 meses)
bissemanal|Bissemanal (2 X por semana)
diário|Diário
mensal|Mensal
quadrimestral|Quadrimestral (com 4 meses)
quinzenal|Quinzenal
semanal|Semanal
semestral|Semestral
semimensal|Semimensal (2 X por mês)	
três vezes por mês|Três vezes por mês
três vezes por semana|Três vezes por semana
trienl|Trienl
trimestral|Trimestral
desconhecido|Desconhecido
outros|Outros
