adp|Adaptador
anl|Analista
anm|Animador
ann|Anotador
ant|Antecedente bibliográfico
arc|Arquiteto
arr|Arranjador
art|Artista
act|Ator
aut|Autor
aud|Autor de diálogo
aui|Autor de introdução
aft|Autor de posfácio, palavras finais, etc.
wam|Autor de texto anexo a material audiovisual
aqt|Autor em citações ou resumo de textos
cll|Calígrafo
app|Candidato
sng|Cantor
ctg|Cartógrafo
asg|Cessionário
cli|Cliente
clb|Colaborador
col|Coletor
cmm|Comentarista
cwt|Comentarista de texto impresso
com|Compilador
cmt|Compositor
cmp|Compositor de trilha sonora
con|Conservador
csl|Consultor
coord|Coordenador
chr|Coreógrafo
cur|Curador
dnc|Dançarino
dsr|Desenhista
bkd|Designer de livro
cph|Detentor de copirraite
pth|Detentor de patente
ard|Diretor artistico
adi|Diretor de arte
tcd|Diretor técnico
dst|Distribuidor
edt|Editor
bnd|Encadernador
ive|Entrevistado
ivr|Entrevistador
pht|Fotógrafo
ilu|Iluminador
ill|Ilustrador
prt|Impressor
itr|Instrumentista
inv|Inventor
auc|Leiloeiro
bsl|Livreiro
spk|Locutor
brd|Locutor de rádio
mon|Monitor / Contratante
nrt|Narrador
org|Organizador
orm|Organizador de evento
ths|Orientador de tese
oth|Outros
res|Pesquisador
pro|Produtor
bkp|Produtor de livro
tch|Professor
pbl|Publicador
red|Redator
cnd|Regente
rpt|Reporter
prf|Revisor técnico
aus|Roteirista
rce||Técnico de gravação
trl|Tradutor
spy|Usuário de tecnologia de patente
voc|Vocalista
