3006 3007
BK_a_LI.fmt|a|m|Material Textual - Livro - BK_LI
BL_a_TE.fmt|t|m|Material textual - Tese/Dissertação - BK_TE
BK_a_CL.fmt|a|a|Material textual - Capítulo de livro BK_CL
CF_m_RE.fmt|m|m|Arquivo de computador - CF_RE
CR_a_AP.fmt|a|b|Recursos contínuos - Artigo de periódico - CR_AP
CR_a_PS.fmt|s|a|Recursos contínuos - Artigo de periódico - CR_PS
CR_a_FS.fmt|a|i|Recursos contínuos - Folhas soltas - CR_FS
MP_e_MC.fmt|e|m|Mapas - Material cartográfico - MP_MC
MP_e_MCM.fmt|f|m|Mapas - Material cartográfico manuscrito - MC_MCM
MU_d_MM.fmt|d|m|Música manuscrita - MU_MM
MU_c_MI.fmt|c|m|Música impressa - MU_MI
MU_i_GS.fmt|i|m|Gravação de som não musical - MU_GS
MU_j_GM.fmt|j|m|Gravação de som musical - MU_GM
MX_p_MM.fmt|p|m|Material misto - Vários tipos - MX_VT
VM_r_AT.fmt|r|m|Artefatos tridimensionais ou objetos da natureza - VM_AT
VM_o_MG.fmt|o|c|Material gráfico - Kit - VM_MG
VM_k_MG.fmt|k|m|Material gráfico bidimensional não projetável - VM_MG
VM_g_MP.fmt|g|m|Material gráfico projetável - VM_MP
