3006 
BK_a_ML.fmt|a||Language material - minimal level
BK_a_NL.fmt|a||Language material - national level
BK_a_ML.fmt|c||Notated music - minimal level
BK_a_NL.fmt|c||Notaed music - national level
BK_a_ML.fmt|e||Cartographic material - minimal level
BK_a_NL.fmt|e||Cartographic material - national level
BK_a_ML.fmt|f||Manuscript cart. material - minimal level
BK_a_NL.fmt|f||Manuscript cart. material - national level
BK_a_ML.fmt|g||Projected medium - minimal level
BK_a_NL.fmt|g||Projected medium - national level
BK_a_ML.fmt|i||Nonmusical sound recording - minimal level
BK_a_NL.fmt|i||Nonmusical sound recording - national level
BK_a_ML.fmt|j||Musical sound recording - minimal level
BK_a_NL.fmt|j||Musical sound recording - national level
BK_a_ML.fmt|k||Two-dimens. nonproject. graphic - minimal level
BK_a_NL.fmt|k||Two-dimens. nonproject. graphic - national level
BK_a_ML.fmt|m||Computer file - minimal level
BK_a_NL.fmt|m||Computer file - national level
BK_a_ML.fmt|o||Kit - minimal level
BK_a_NL.fmt|o||Kit - national level
BK_a_ML.fmt|p||Mixed materials - minimal level
BK_a_NL.fmt|p||Mixed materials - national level
BK_a_ML.fmt|r||Three-dimensional objects - minimal level
BK_a_NL.fmt|r||Three-dimensional objects - national level
BK_a_ML.fmt|t||Manuscript language material - minimal level
BK_a_NL.fmt|t||Menuscript language material - national level
