adp|Adaptador
srv|Agrimensor
etr|Água-fortista
anl|Analista
hst|Anfitrião
anm|Animador
ann|Anotador
ant|Antecessor bibliográfico
arc|Arquiteto
arr|Arranjador
prf|Artista
sgn|Assinante
act|Ator
aut|Autor
aui|Autor da introdução
aud|Autor de diálogo
aft|Autor do posfácio, colofão, etc.
aus|Autor do roteiro
dub|Autor dúbio
aqt|Autor nas citações ou trechos de texto
cll|Calígrafo
sng|Cantor
ctg|Cartógrafo
std|Cenógrafo
cns|Censor
vdg|Cinegrafista
cli|Cliente
clb|Colaborador
col|Colecionador
clt|Collotyper
clr|Colorista
cmm|Comentarista (audiovisual)
cwt|Comentarista (texto)
com|Compilador
cmp|Compositor
con|Conservador
csl|Consultor
csp|Consultor de projetos
stl|Contador de histórias
mdc|Contato de metadados
cts|Contestado
cos|Contestante
ctr|Contratante
ctb|Contribuidor
dtc|Contribuidor de dados
rce|Coordenador da gravação
fac|Copiador (facsmile)
acp|Copiador (obras de arte)
mcp|Copista de música
chr|Coreógrafo
crp|Correspondente
cre|Criador
rev|Crítico
cur|Curador
dnc|Dançarino
ilu|Decorador
dto|Dedicador
dln|Delineador
dpt|Depositante
drm|Desenhista
cov|Designer da capa  
bjd|Designer da capa protetora
bdd|Designer da encadernação
lgd|Designer de iluminação
tyd|Designer de tipos
bpd|Designer do bookplate
bkd|Designer do livro
rcp|Destinatário
pth|Detentor da patente
cph|Detentor do copyright
drt|Diretor
ard|Diretor artístico
fld|Diretor de campo
pbd|Diretor de edição
cng|Diretor de fotografia
msd|Diretor de som
ldr|Diretor do laboratório
tcd|Diretor técnico
dis|Dissertador (tese)
dst|Distribuidor
blw|Divulgador
dnr|Doador
flm|Editor de filme
mrk|Editor de linguagem de marcação
edt|Editor, Coordenador
pbl|Editora
elt|Electrotyper
len|Emprestador
bnd|Encadernador
eng|Engenheiro
wde|Entalhador de madeira
mte|Entalhador de metal
dgg|Entidade concedente de grau
ive|Entrevistado
ivr|Entrevistador
prd|Equipe de produção
scr|Escriba
wam|Escritor do material de apoio
scl|Escultor
gis|Especialista em informação geográfica
fmo|Ex-propietário
mfr|Fabricante  
ppm|Fabricante de papel
frg|Falsificador (copiador)
cst|Figurinista
fnd|Financiador
pht|Fotógrafo
stm|Gerente de palco
pmn|Gerente de produção
pdr|Gerente de projeto
dtm|Gerente dos dados
egr|Gravador
prm|Gravador (imagem)
hnr|Homenageada
dte|Homenageado
ccp|Idealizador
elg|Iluminador
ill|Ilustrador
prt|Impressor
pop|Impressor de placas
ins|Inscritor
itr|Instrumentalista
inv|Inventor
lbr|Laboratório
auc|Leiloeiro
lbt|Libretista
lse|Licenciador
lso|Licenciante
led|Líder  
rth|Líder da equipe de pesquisa
lyr|Lírico
ltg|Litógrafo
bsl|Livreiro
uvp|Local da universidade
dpb|Local de distribuição
mfp|Local de fabricação
prp|Local de produção
pup|Local de publicação
evp|Local do evento
spk|Locutor
cnd|Maestro
mod|Mediador
rtm|Membro da equipe de pesquisa
mon|Monitor
mus|Músico
nrt|Narrador
asn|Nome associado
att|Nome atribuído
ppt|Operador de marionetes
stn|Organismo de normatização
orm|Organizador da reunião
sad|Orientador científico
ths|Orientador de tese
org|Originador
oth|Outro
lsa|Paisagista
spn|Patrocinador
pat|Patrono
exp|Perito
res|Pesquisador
art|Pintor
asg|Procurador
pro|Produtor (filme)
plt|Produtor de placas
bkp|Produtor do livro
tch|Professor
prg|Programador
dsr|Projetista
sds|Projetista de som
own|Proprietário
ptf|Querelante
red|Redator
ren|Renderizador
rpt|Repórter
rps|Repositório
app|Requerente
pta|Requerente de patente
cpc|Requerente do copyright
rpy|Responsável
dpc|Retratado
dfd|Réu
pfr|Revisor
crr|Revisor (manuscrito)
sce|Roteirista
sec|Secretário
wit|Testemunha
tyg|Tipógrafo
trl|Tradutor
trc|Transcritor
voc|Vocalista
wdc|Xilógrafo
